DQN 在 LineWorld 上学到的策略
陷阱位置=0, 目标位置=8

状态=00 | 贪心动作=right | Q=[0.448322057723999, 0.6659194827079773, 0.675491213798523]
状态=01 | 贪心动作=right | Q=[-0.9788062572479248, 0.40253737568855286, 0.5456798672676086]
状态=02 | 贪心动作=right | Q=[0.5729586482048035, 0.6165155172348022, 0.6854162216186523]
状态=03 | 贪心动作=right | Q=[0.5973526835441589, 0.6531482338905334, 0.7525273561477661]
状态=04 | 贪心动作=right | Q=[0.7445393800735474, 0.7426705956459045, 0.8614883422851562]
状态=05 | 贪心动作=right | Q=[0.7779473066329956, 0.8061484098434448, 0.8870761394500732]
状态=06 | 贪心动作=right | Q=[0.8726139068603516, 0.8627600073814392, 0.9434138536453247]
状态=07 | 贪心动作=right | Q=[0.8540508151054382, 0.9332929253578186, 0.9995615482330322]
状态=08 | 贪心动作=right | Q=[0.511857807636261, 0.7125871777534485, 0.7870861291885376]
