策略梯度训练过程记录

episode | return | success | avg_return(window) | avg_success(window)
118 | +2.6352 | 0 | +1.5956 | 0.0000
119 | +0.8975 | 0 | +1.5831 | 0.0000
120 | +1.6030 | 0 | +1.6380 | 0.0000
121 | +1.9338 | 0 | +1.7061 | 0.0000
122 | +1.6428 | 0 | +1.7438 | 0.0000
123 | +2.1345 | 0 | +1.7679 | 0.0000
124 | +1.7901 | 0 | +1.7794 | 0.0000
125 | +1.4316 | 0 | +1.8067 | 0.0000
126 | +2.3065 | 0 | +1.7894 | 0.0000
127 | +2.7367 | 0 | +1.8635 | 0.0000
128 | +0.6140 | 0 | +1.8450 | 0.0000
129 | +3.0247 | 0 | +1.9112 | 0.0000
130 | +2.5696 | 0 | +1.9469 | 0.0000
131 | +0.9050 | 0 | +1.9724 | 0.0000
132 | +2.3547 | 0 | +1.9939 | 0.0000
133 | +1.3578 | 0 | +1.9071 | 0.0000
134 | +4.0406 | 1 | +2.0168 | 0.0500
135 | +3.8033 | 1 | +2.0887 | 0.1000
136 | +1.0235 | 0 | +2.0175 | 0.1000
137 | +1.8654 | 0 | +2.0335 | 0.1000
138 | +2.6942 | 0 | +2.0365 | 0.1000
139 | +2.5180 | 0 | +2.1175 | 0.1000
140 | +4.6318 | 1 | +2.2689 | 0.1500
141 | +1.3712 | 0 | +2.2408 | 0.1500
142 | +3.8902 | 1 | +2.3532 | 0.2000
143 | +2.2361 | 0 | +2.3583 | 0.2000
144 | +1.1905 | 0 | +2.3283 | 0.2000
145 | +2.3081 | 0 | +2.3721 | 0.2000
146 | +2.6909 | 0 | +2.3913 | 0.2000
147 | +4.0430 | 1 | +2.4566 | 0.2500
148 | +3.7307 | 1 | +2.6125 | 0.3000
149 | +4.5384 | 1 | +2.6882 | 0.3500
150 | +5.0640 | 1 | +2.8129 | 0.4000
151 | +3.3340 | 1 | +2.9343 | 0.4500
152 | +3.6992 | 1 | +3.0016 | 0.5000
153 | +5.1955 | 1 | +3.1934 | 0.5500
154 | +4.7643 | 1 | +3.2296 | 0.5500
155 | +3.7100 | 1 | +3.2250 | 0.5500
156 | +1.2410 | 0 | +3.2358 | 0.5500
157 | +2.6892 | 0 | +3.2770 | 0.5500
158 | +1.4086 | 0 | +3.2127 | 0.5500
159 | +4.6000 | 1 | +3.3168 | 0.6000
160 | +5.0519 | 1 | +3.3378 | 0.6000
161 | +3.4342 | 1 | +3.4410 | 0.6500
162 | +3.6582 | 1 | +3.4294 | 0.6500
163 | +3.0585 | 0 | +3.4705 | 0.6500
164 | +4.6215 | 1 | +3.6421 | 0.7000
165 | +3.6133 | 1 | +3.7073 | 0.7500
166 | +3.6045 | 1 | +3.7530 | 0.8000
167 | +1.6045 | 0 | +3.6311 | 0.7500
168 | +3.4045 | 1 | +3.6148 | 0.7500
169 | +4.8182 | 1 | +3.6288 | 0.7500
170 | +4.3308 | 1 | +3.5921 | 0.7500
171 | +3.6487 | 1 | +3.6078 | 0.7500
172 | +3.0979 | 0 | +3.5778 | 0.7000
173 | +4.6685 | 1 | +3.5514 | 0.7000
174 | +3.3427 | 1 | +3.4803 | 0.7000
175 | +4.1229 | 1 | +3.5010 | 0.7000
176 | +3.2417 | 1 | +3.6010 | 0.7500
177 | +3.3318 | 1 | +3.6331 | 0.8000
178 | +3.3734 | 1 | +3.7314 | 0.8500
179 | +3.2955 | 1 | +3.6662 | 0.8500
180 | +5.0364 | 1 | +3.6654 | 0.8500
181 | +3.6830 | 1 | +3.6778 | 0.8500
182 | +4.1320 | 1 | +3.7015 | 0.8500
183 | +4.6001 | 1 | +3.7786 | 0.9000
184 | +4.8444 | 1 | +3.7897 | 0.9000
185 | +5.3749 | 1 | +3.8778 | 0.9000
186 | +4.1726 | 1 | +3.9062 | 0.9000
187 | +3.8361 | 1 | +4.0178 | 0.9500
188 | +4.6552 | 1 | +4.0803 | 0.9500
189 | +4.0177 | 1 | +4.0403 | 0.9500
190 | +2.4156 | 0 | +3.9446 | 0.9000
191 | +3.8729 | 1 | +3.9558 | 0.9000
192 | +4.6175 | 1 | +4.0317 | 0.9500
193 | +4.4809 | 1 | +4.0224 | 0.9500
194 | +2.9076 | 0 | +4.0006 | 0.9000
195 | +3.3501 | 1 | +3.9620 | 0.9000
196 | +3.4678 | 1 | +3.9733 | 0.9000
197 | +2.7147 | 0 | +3.9424 | 0.8500
198 | +5.3402 | 1 | +4.0408 | 0.8500
199 | +4.3599 | 1 | +4.0940 | 0.8500
200 | +3.9725 | 1 | +4.0408 | 0.8500
201 | +4.4115 | 1 | +4.0772 | 0.8500
202 | +2.1304 | 0 | +3.9771 | 0.8000
203 | +3.7838 | 1 | +3.9363 | 0.8000
204 | +2.3167 | 0 | +3.8099 | 0.7500
205 | +1.7946 | 0 | +3.6309 | 0.7000
206 | +3.6357 | 1 | +3.6041 | 0.7000
207 | +3.7438 | 1 | +3.5994 | 0.7000
208 | +4.8081 | 1 | +3.6071 | 0.7000
209 | +4.7897 | 1 | +3.6457 | 0.7000
210 | +3.4746 | 1 | +3.6986 | 0.7500
211 | +4.4976 | 1 | +3.7299 | 0.7500
212 | +4.8792 | 1 | +3.7430 | 0.7500
213 | +4.3909 | 1 | +3.7385 | 0.7500
214 | +4.0301 | 1 | +3.7946 | 0.8000
215 | +3.7568 | 1 | +3.8149 | 0.8000
216 | +5.1337 | 1 | +3.8982 | 0.8000
217 | +5.0005 | 1 | +4.0125 | 0.8500
218 | +4.3258 | 1 | +3.9618 | 0.8500
219 | +4.7421 | 1 | +3.9809 | 0.8500
220 | +4.4082 | 1 | +4.0027 | 0.8500
221 | +4.0316 | 1 | +3.9837 | 0.8500
222 | +4.0595 | 1 | +4.0802 | 0.9000
223 | +3.5156 | 1 | +4.0668 | 0.9000
224 | +3.7513 | 1 | +4.1385 | 0.9500
225 | +3.5909 | 1 | +4.2283 | 1.0000
226 | +3.3633 | 1 | +4.2147 | 1.0000
227 | +4.3815 | 1 | +4.2466 | 1.0000
228 | +4.8586 | 1 | +4.2491 | 1.0000
229 | +3.8346 | 1 | +4.2013 | 1.0000
230 | +3.9116 | 1 | +4.2232 | 1.0000
231 | +5.1413 | 1 | +4.2554 | 1.0000
232 | +4.7596 | 1 | +4.2494 | 1.0000
233 | +4.2613 | 1 | +4.2429 | 1.0000
234 | +4.9669 | 1 | +4.2897 | 1.0000
235 | +3.9635 | 1 | +4.3001 | 1.0000
236 | +4.4027 | 1 | +4.2635 | 1.0000
237 | +2.3608 | 0 | +4.1315 | 0.9500
238 | +4.4319 | 1 | +4.1368 | 0.9500
239 | +4.2215 | 1 | +4.1108 | 0.9500
240 | +3.4860 | 1 | +4.0647 | 0.9500
241 | +4.4306 | 1 | +4.0847 | 0.9500
242 | +4.5789 | 1 | +4.1106 | 0.9500
243 | +3.6507 | 1 | +4.1174 | 0.9500
244 | +4.5203 | 1 | +4.1558 | 0.9500
245 | +4.1633 | 1 | +4.1845 | 0.9500
246 | +4.9863 | 1 | +4.2656 | 0.9500
247 | +4.3971 | 1 | +4.2664 | 0.9500
248 | +4.5987 | 1 | +4.2534 | 0.9500
249 | +4.5062 | 1 | +4.2870 | 0.9500
250 | +4.2688 | 1 | +4.3048 | 0.9500
251 | +4.0072 | 1 | +4.2481 | 0.9500
252 | +4.5237 | 1 | +4.2363 | 0.9500
253 | +5.2749 | 1 | +4.2870 | 0.9500
254 | +5.0347 | 1 | +4.2904 | 0.9500
255 | +5.3044 | 1 | +4.3574 | 0.9500
256 | +4.8867 | 1 | +4.3816 | 0.9500
257 | +3.7298 | 1 | +4.4501 | 1.0000
258 | +3.8132 | 1 | +4.4192 | 1.0000
259 | +4.8517 | 1 | +4.4507 | 1.0000
260 | +5.3254 | 1 | +4.5426 | 1.0000
261 | +3.2240 | 1 | +4.4823 | 1.0000
262 | +4.0102 | 1 | +4.4539 | 1.0000
263 | +1.7965 | 0 | +4.3612 | 0.9500
264 | +3.4327 | 1 | +4.3068 | 0.9500
265 | +5.4125 | 1 | +4.3692 | 0.9500
266 | +5.1008 | 1 | +4.3750 | 0.9500
267 | +4.2400 | 1 | +4.3671 | 0.9500
268 | +1.5422 | 0 | +4.2143 | 0.9000
269 | +4.9952 | 1 | +4.2387 | 0.9000
270 | +3.8455 | 1 | +4.2176 | 0.9000
271 | +3.5850 | 1 | +4.1965 | 0.9000
272 | +2.8872 | 0 | +4.1146 | 0.8500
