DQN 训练过程记录

episode | return | success | avg_return(window) | avg_success(window)
118 | +0.8800 | 1 | +0.7420 | 0.9000
119 | +0.8200 | 1 | +0.7350 | 0.9000
120 | +0.8400 | 1 | +0.7320 | 0.9000
121 | +0.8600 | 1 | +0.7260 | 0.9000
122 | +0.9800 | 1 | +0.7280 | 0.9000
123 | +0.8800 | 1 | +0.7995 | 0.9500
124 | +0.9600 | 1 | +0.8015 | 0.9500
125 | +0.8400 | 1 | +0.7975 | 0.9500
126 | +0.9600 | 1 | +0.7985 | 0.9500
127 | +0.9600 | 1 | +0.8005 | 0.9500
128 | +0.9200 | 1 | +0.8740 | 1.0000
129 | +0.9200 | 1 | +0.8790 | 1.0000
130 | +0.9200 | 1 | +0.8830 | 1.0000
131 | +0.9800 | 1 | +0.8920 | 1.0000
132 | +0.9000 | 1 | +0.8890 | 1.0000
133 | +0.9800 | 1 | +0.8990 | 1.0000
134 | +0.8600 | 1 | +0.9020 | 1.0000
135 | +0.9200 | 1 | +0.9000 | 1.0000
136 | +0.8000 | 1 | +0.9000 | 1.0000
137 | +0.9200 | 1 | +0.9050 | 1.0000
138 | +0.9800 | 1 | +0.9100 | 1.0000
139 | +0.9200 | 1 | +0.9150 | 1.0000
140 | +0.8400 | 1 | +0.9150 | 1.0000
141 | +0.9400 | 1 | +0.9190 | 1.0000
142 | +0.9600 | 1 | +0.9180 | 1.0000
143 | +0.9000 | 1 | +0.9190 | 1.0000
144 | +0.9800 | 1 | +0.9200 | 1.0000
145 | +0.9400 | 1 | +0.9250 | 1.0000
146 | +0.9800 | 1 | +0.9260 | 1.0000
147 | +0.9200 | 1 | +0.9240 | 1.0000
148 | +0.9600 | 1 | +0.9260 | 1.0000
149 | +0.7800 | 1 | +0.9190 | 1.0000
150 | +0.9200 | 1 | +0.9190 | 1.0000
151 | +0.9400 | 1 | +0.9170 | 1.0000
152 | +0.8800 | 1 | +0.9160 | 1.0000
153 | +0.9400 | 1 | +0.9140 | 1.0000
154 | +0.9600 | 1 | +0.9190 | 1.0000
155 | +0.9600 | 1 | +0.9210 | 1.0000
156 | +0.9200 | 1 | +0.9270 | 1.0000
157 | +0.9200 | 1 | +0.9270 | 1.0000
158 | +0.9200 | 1 | +0.9240 | 1.0000
159 | +0.9800 | 1 | +0.9270 | 1.0000
160 | +0.9000 | 1 | +0.9300 | 1.0000
161 | +0.9400 | 1 | +0.9300 | 1.0000
162 | +0.9200 | 1 | +0.9280 | 1.0000
163 | +0.9000 | 1 | +0.9280 | 1.0000
164 | +0.9200 | 1 | +0.9250 | 1.0000
165 | +0.9400 | 1 | +0.9250 | 1.0000
166 | +0.9000 | 1 | +0.9210 | 1.0000
167 | +0.9400 | 1 | +0.9220 | 1.0000
168 | +0.9600 | 1 | +0.9220 | 1.0000
169 | +0.9800 | 1 | +0.9320 | 1.0000
170 | +0.9000 | 1 | +0.9310 | 1.0000
171 | +0.9600 | 1 | +0.9320 | 1.0000
172 | +0.9400 | 1 | +0.9350 | 1.0000
173 | +0.9400 | 1 | +0.9350 | 1.0000
174 | +0.9800 | 1 | +0.9360 | 1.0000
175 | +0.9600 | 1 | +0.9360 | 1.0000
